1 	7	7 	45	421 	2022-11-08 	12:00:00
2 	3	18 	5 	0 	2022-11-08 	08:00:00
3 	2	9 	25	242 	2022-11-09 	08:00:00
4 	4	1 	33	197 	2022-11-09 	10:15:00
5 	5	17 	200	576 	2022-11-11 	20:30:00
6 	6	13 	14	139 	2022-11-13 	11:30:00
7 	1	16 	18	145 	2022-11-21 	12:30:00
8 	1	10 	16	125 	2022-11-21 	12:30:00
9 	1	18 	24	98 	2022-11-21 	12:30:00
10	1	15 	8 	-1 	2022-11-21 	12:30:00
11	7	9 	30	278 	2022-11-22 	21:15:00
12	7	13 	30	287 	2022-11-22 	21:15:00
13	7	12 	30	245 	2022-11-22 	21:15:00
14	2	4 	80	745 	2022-12-01 	06:30:00
15	2	3 	55	487 	2022-12-01 	06:30:00
16	2	2 	90	898 	2022-12-01 	12:00:00
17	2	8 	150	-1 	2022-12-02 	12:00:00
